id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
27169,YWGT,medium_airport,Wangaratta Airport,-36.417914,146.306896,504,OC,AU,AU-VIC,Laceby,no,YWGT,WGT,YWGT,,,https://en.wikipedia.org/wiki/Wangaratta_Airport,
27170,YWHA,medium_airport,Whyalla Airport,-33.05889893,137.5140076,41,OC,AU,AU-SA,Whyalla,yes,YWHA,WYA,YWHA,,,https://en.wikipedia.org/wiki/Whyalla_Airport,
28050,YWIT,small_airport,Wittenoom Airport,-22.224992,118.353739,444,OC,AU,AU-WA,,no,YWIT,WIT,YWIT,,,"https://en.wikipedia.org/wiki/Wittenoom,_Western_Australia",
27172,YWKB,medium_airport,Warracknabeal Airport,-36.32109833,142.4190063,397,OC,AU,AU-VIC,,no,YWKB,WKB,YWKB,,,https://en.wikipedia.org/wiki/Warracknabeal_Airport,
27174,YWLG,medium_airport,Walgett Airport,-30.032801,148.126007,439,OC,AU,AU-NSW,,yes,YWLG,WGE,YWLG,,,https://en.wikipedia.org/wiki/Walgett_Airport,
27176,YWLU,medium_airport,Wiluna Airport,-26.62919998,120.2210007,1649,OC,AU,AU-WA,,yes,YWLU,WUN,YWLU,,,https://en.wikipedia.org/wiki/Wiluna_Airport,
27179,YWSL,medium_airport,West Sale Airport,-38.090827,146.965335,72,OC,AU,AU-VIC,Sale,no,YWSL,SXE,YWSL,,,https://en.wikipedia.org/wiki/West_Sale_Airport,
27180,YWTN,medium_airport,Winton Airport,-22.36359978,143.0859985,638,OC,AU,AU-QLD,,yes,YWTN,WIN,YWTN,,,https://en.wikipedia.org/wiki/Winton_Airport,
27181,YWUD,small_airport,Wudinna Airport,-33.043301,135.447006,310,OC,AU,AU-SA,,no,YWUD,WUD,YWUD,,,https://en.wikipedia.org/wiki/Wudinna_Airport,
32686,YWWI,small_airport,Woodie Woodie Airport,-21.64551,121.191184,,OC,AU,AU-WA,Woodie Woodie,no,YWWI,WWI,YWWI,,,https://en.wikipedia.org/wiki/Woodie_Woodie_Airport,
27182,YWWL,medium_airport,West Wyalong Airport,-33.93719864,147.1909943,859,OC,AU,AU-NSW,West Wyalong,no,YWWL,WWY,YWWL,,,https://en.wikipedia.org/wiki/West_Wyalong_Airport,
27183,YWYM,small_airport,Wyndham Airport,-15.5114,128.153,14,OC,AU,AU-WA,,no,YWYM,WYN,YWYM,,,https://en.wikipedia.org/wiki/Wyndham_Airport,
27184,YWYY,medium_airport,Wynyard Airport,-40.997039,145.726,62,OC,AU,AU-TAS,Burnie,yes,YWYY,BWT,YWYY,,,https://en.wikipedia.org/wiki/Burnie_Airport,
